2019 KS5 excel and csv download data files: field names and descriptions,,,,,,
 '.' indicates that a field is intentionally null/blank,,,,,,
"Note: retention, and completion and attainment data will be made available in March.",,,,,,
,,,,,,
Column,Field Name,Field description,Null/blank field for Rectype 1,Null/blank field for Rectype 3,Null/blank field for Rectype 4,Null/blank field for Rectype 5 or 7
BX,T_InScope_AGEN_2ndYr,Number of students In scope for returned and retained for a second year where core aim is an applied general qualification,.,.,.,.
BY,PT_Retained_AGEN_2ndYr,Percentage of students who were retained for a second year with an applied general core aim,.,.,.,.
BZ,T_InScope_TLEV_Ret,Number of students at the end of 16-18 study with a tech level core aim,.,.,.,.
CA,PT_Retained_TLEV_Ret,Percentage of tech level core aims retained,.,.,.,.
CB,PT_Ret_Assessed_TLEV,Percentage of tech level core aims retained and assessed,.,.,.,.
CC,T_InScope_TLEV_2ndYr,Number of students in scope for returned and retained for a second year measure where core aim is a tech level qualification,.,.,.,.
CD,PT_Retained_TLEV_2ndYr,Percentage of students who were retained for a second year with a tech level core aim,.,.,.,.
CE,T_AIMS_TLEV,Number of tech level aims,.,.,.,.
CF,CA_SCORE_TLEV,Completion and Attainment score,.,.,.,.
CG,TALLPUP_TechCert,Number of students at the end of 16-18 study who were entered for at least one technical certificate qualification,,,,
CH,TALLPPE_TechCert,Average point score per technical certificate entry ,,,,
CI,TALLPPEGRD_TechCert,Average point score per technical certificate entry expressed as a grade,,,,
CJ,T_AIMS_TechCert,Number of technical certificate aims in completion and attainment measure,.,.,.,.
CK,CA_Score_TechCert,Technical certificate completion and attainment score,.,.,.,.
CL,T_InScope_TechCert_Ret,Number of students in scope for retention measure where core aim is a tech cert programme,.,.,.,.
CM,PT_Retained_TechCert_Ret,Percentage of technical certificate core aims retained,.,.,.,.
CN,PT_Ret_Assessed_TechCert,Percentage of technical certificate core aims retained and assessed,.,.,.,.
CO,TALLPUP_ANYL2VOC,"Number of students entered for at least one level 2 vocational, whose highest qualification during 16-18 study was at level 2.",,,,
CP,TechCert_PER,Percentage of level 2 vocational students that are technical certificate students,,,,
